,coords,col_2,type,nom,dict
0,"[44.6046, -0.36962]","[0, 1]",EC,Podensac,"{'numero': '2', 'roadname': 'A62'}"
1,"[44.6462, -0.435586]","[-0.532729, 0.846286]",AS,Terres de Graves Nord,{'roadname': 'A62'}
2,"[44.6462, -0.435586]","[0.542148, -0.840283]",AS,Terres de Graves Sud,{'roadname': 'A62'}
3,"[44.6592, -0.45403699999999997]","[0.7071069999999999, -0.7071069999999999]",BA,Saint Selve,{'roadname': 'A62'}
4,"[44.6938, -0.496154]","[0, 1]",EC,La Br&ecirc;de,"{'numero': '1.1', 'roadname': 'A62'}"
5,"[44.9021, -0.493648]","[0, 1]",EC,Carbon Blanc,"{'numero': '44', 'roadname': 'A10'}"
6,"[44.8914, -0.501698]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}"
7,"[44.8914, -0.501705]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}"
8,"[44.9097, -0.488668]","[0, 1]",EC,Saint Eulalie,"{'numero': '43', 'roadname': 'A10'}"
9,"[44.8849, -0.51056]","[0, 1]",LI,Debut A10,{'roadname': 'A10'}
10,"[44.9299, -0.469556]","[0, 1]",EC,Ambar&egrave;s-Saint Loub&egrave;s,"{'numero': '42', 'roadname': 'A10'}"
11,"[44.9475, -0.464931]","[0, 1]",EC,Amb&egrave;s,"{'numero': '41', 'roadname': 'A10'}"
12,"[44.9767, -0.432454]","[-0.26404099999999997, -0.964511]",AS,L&apos;Estalot,{'roadname': 'A10'}
13,"[44.9767, -0.432454]","[0.283848, 0.958869]",AS,Meillac,{'roadname': 'A10'}
14,"[44.986, -0.42769799999999997]","[0, 1]",EC,Saint Andr&eacute;,"{'numero': '40', 'roadname': 'A10'}"
15,"[44.8851, -0.268632]","[0.0348995, 0.9993909999999999]",BA,Barri&egrave;re d&apos;Arveyres,{'roadname': 'A89'}
16,"[44.8737, -0.28587599999999996]","[0, 1]",EC,Libourne Ouest,"{'numero': '9', 'roadname': 'A89'}"
17,"[44.9598, -0.247185]","[0, 1]",EC,Libourne Nord,"{'numero': '10', 'roadname': 'A89'}"
18,"[44.98, -0.17958000000000002]","[-0.906897, -0.421352]",AR,Vignes Nord,{'roadname': 'A89'}
19,"[44.98, -0.17958000000000002]","[0.733255, 0.6799529999999999]",AR,Vignes Sud,{'roadname': 'A89'}
20,"[45.0236, -0.43558199999999997]","[0.26707000000000003, -0.963677]",BA,Barri&egrave;re de Virsac,{'roadname': 'A10'}
21,"[45.0128, -0.42980799999999997]","[0, 1]",EC,Libourne/Saint Antoine,"{'numero': '39', 'roadname': 'A10'}"
22,"[45.0666, -0.461825]","[-0.27160799999999996, 0.9624079999999999]",AR,Cezac,{'roadname': 'A10'}
23,"[45.1075, -0.48274599999999995]","[0.125853, -0.992049]",AR,Saint Christoly,{'roadname': 'A10'}
24,"[45.3714, -0.593244]","[0, 1]",EC,Mirambeau,"{'numero': '37', 'roadname': 'A10'}"
